"filename", "language", "JSON", "XML", "ASP.NET Razor", "C#", "PostCSS", "JavaScript", "comment", "blank", "total"
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Manage\FavoritesList.razor.css", "PostCSS", 0, 0, 0, 0, 17, 0, 2, 4, 23
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Manage\GenerateRecoveryCodes.razor", "ASP.NET Razor", 0, 0, 55, 0, 0, 0, 0, 9, 64
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Manage\Index.razor", "ASP.NET Razor", 0, 0, 93, 0, 0, 0, 0, 18, 111
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Manage\PersonalData.razor", "ASP.NET Razor", 0, 0, 35, 0, 0, 0, 0, 9, 44
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Manage\SetPassword.razor", "ASP.NET Razor", 0, 0, 72, 0, 0, 0, 0, 16, 88
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Manage\TherapistSettings.razor", "ASP.NET Razor", 0, 0, 248, 0, 0, 0, 0, 43, 291
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Manage\TwoFactorAuthentication.razor", "ASP.NET Razor", 0, 0, 82, 0, 0, 0, 0, 13, 95
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Manage\_Imports.razor", "ASP.NET Razor", 0, 0, 2, 0, 0, 0, 0, 1, 3
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Register.razor", "ASP.NET Razor", 0, 0, 123, 0, 0, 0, 0, 29, 152
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Register.razor.css", "PostCSS", 0, 0, 0, 0, 53, 0, 0, 10, 63
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\RegisterConfirmation.razor", "ASP.NET Razor", 0, 0, 40, 0, 0, 0, 0, 10, 50
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\ResendEmailConfirmation.razor", "ASP.NET Razor", 0, 0, 60, 0, 0, 0, 0, 13, 73
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\ResetPassword.razor", "ASP.NET Razor", 0, 0, 86, 0, 0, 0, 0, 24, 110
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\ResetPasswordConfirmation.razor", "ASP.NET Razor", 0, 0, 18, 0, 0, 0, 0, 4, 22
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Support.razor", "ASP.NET Razor", 0, 0, 106, 0, 0, 0, 0, 13, 119
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\TherapistDetails.razor", "ASP.NET Razor", 0, 0, 297, 0, 0, 0, 0, 29, 326
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\TherapistDetails.razor.css", "PostCSS", 0, 0, 0, 0, 49, 0, 0, 8, 57
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\TherapistDiary.razor", "ASP.NET Razor", 0, 0, 283, 0, 0, 0, 0, 31, 314
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\TherapistsCatalog.razor", "ASP.NET Razor", 0, 0, 205, 0, 0, 0, 0, 28, 233
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\TherapistsCatalog.razor.css", "PostCSS", 0, 0, 0, 0, 58, 0, 0, 5, 63
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\_Imports.razor", "ASP.NET Razor", 0, 0, 2, 0, 0, 0, 0, 1, 3
